identificador_cliente,sector_economico,fecha_afiliacion
1001,Comercio Minorista,2020-01-01
1002,Independientes,2020-01-01
1003,Ganadería/Agro,2020-01-01
1004,Comercio Minorista,2020-01-01
1005,Comercio Minorista,2020-01-01
1006,Independientes,2020-01-01
1007,Ganadería/Agro,2020-01-01
1008,Ganadería/Agro,2020-01-01
1009,Comercio Minorista,2020-01-01
1010,Minería/Servicios,2020-01-01
1011,Comercio Minorista,2020-01-01
1012,Comercio Minorista,2020-01-01
1013,Comercio Minorista,2020-01-01
1014,Comercio Minorista,2020-01-01
1015,Independientes,2020-01-01
1016,Ganadería/Agro,2020-01-01
1017,Independientes,2020-01-01
1018,Independientes,2020-01-01
1019,Independientes,2020-01-01
1020,Comercio Minorista,2020-01-01
1021,Minería/Servicios,2020-01-01
1022,Ganadería/Agro,2020-01-01
1023,Minería/Servicios,2020-01-01
1024,Independientes,2020-01-01
1025,Independientes,2020-01-02
1026,Minería/Servicios,2020-01-02
1027,Minería/Servicios,2020-01-02
1028,Minería/Servicios,2020-01-02
1029,Independientes,2020-01-02
1030,Independientes,2020-01-02
1031,Ganadería/Agro,2020-01-02
1032,Ganadería/Agro,2020-01-02
1033,Independientes,2020-01-02
1034,Minería/Servicios,2020-01-02
1035,Minería/Servicios,2020-01-02
1036,Ganadería/Agro,2020-01-02
1037,Independientes,2020-01-02
1038,Ganadería/Agro,2020-01-02
1039,Ganadería/Agro,2020-01-02
1040,Comercio Minorista,2020-01-02
1041,Comercio Minorista,2020-01-02
1042,Comercio Minorista,2020-01-02
1043,Minería/Servicios,2020-01-02
1044,Independientes,2020-01-02
1045,Independientes,2020-01-02
1046,Independientes,2020-01-02
1047,Independientes,2020-01-02
1048,Comercio Minorista,2020-01-02
1049,Minería/Servicios,2020-01-03
1050,Minería/Servicios,2020-01-03
1051,Comercio Minorista,2020-01-03
1052,Minería/Servicios,2020-01-03
1053,Comercio Minorista,2020-01-03
1054,Independientes,2020-01-03
1055,Comercio Minorista,2020-01-03
1056,Independientes,2020-01-03
1057,Independientes,2020-01-03
1058,Ganadería/Agro,2020-01-03
1059,Comercio Minorista,2020-01-03
1060,Ganadería/Agro,2020-01-03
1061,Comercio Minorista,2020-01-03
1062,Comercio Minorista,2020-01-03
1063,Ganadería/Agro,2020-01-03
1064,Ganadería/Agro,2020-01-03
1065,Comercio Minorista,2020-01-03
1066,Minería/Servicios,2020-01-03
1067,Independientes,2020-01-03
1068,Ganadería/Agro,2020-01-03
1069,Independientes,2020-01-03
1070,Minería/Servicios,2020-01-03
1071,Minería/Servicios,2020-01-03
1072,Minería/Servicios,2020-01-03
1073,Ganadería/Agro,2020-01-04
1074,Minería/Servicios,2020-01-04
1075,Ganadería/Agro,2020-01-04
1076,Minería/Servicios,2020-01-04
1077,Independientes,2020-01-04
1078,Independientes,2020-01-04
1079,Comercio Minorista,2020-01-04
1080,Independientes,2020-01-04
1081,Comercio Minorista,2020-01-04
1082,Independientes,2020-01-04
1083,Ganadería/Agro,2020-01-04
1084,Independientes,2020-01-04
1085,Comercio Minorista,2020-01-04
1086,Comercio Minorista,2020-01-04
1087,Minería/Servicios,2020-01-04
1088,Ganadería/Agro,2020-01-04
1089,Independientes,2020-01-04
1090,Minería/Servicios,2020-01-04
1091,Independientes,2020-01-04
1092,Independientes,2020-01-04
1093,Minería/Servicios,2020-01-04
