identificador_cliente,ingresos_mensuales_cop,score_credito
1001,4134175.75,577
1002,4708736.75,315
1003,7452741.23,824
1004,3748031.58,655
1005,7561477.73,655
1006,1934567.9,377
1007,6892948.75,366
1008,7402342.96,513
1009,2609087.1,748
1010,4398495.03,732
1011,2491598.38,844
1012,6387549.73,414
1013,5154503.93,719
1014,5874328.1,798
1015,2714706.16,679
1016,2824570.21,442
1017,1598780.74,323
1018,3618886.25,838
1019,5330161.56,374
1020,7477131.38,834
1021,6101877.62,340
1022,4434853.53,712
1023,8162464.82,714
1024,6478565.44,748
1025,7997189.46,735
1026,5098633.41,538
1027,3164110.78,341
1028,1680352.14,309
1029,6527810.93,564
1030,2173381.59,744
1031,3479980.92,438
1032,5133790.54,495
1033,5363799.43,373
1034,5624199.02,524
1035,2497038.38,401
1036,4034109.31,563
1037,5743798.44,460
1038,8282695.83,532
1039,6538944.19,790
1040,7942747.05,610
1041,6787926.82,526
1042,5560362.18,572
1043,2682568.26,616
1044,6100136.69,385
1045,5788332.87,590
1046,5637778.03,768
1047,4826458.25,703
1048,5106327.55,726
1049,3707986.2,674
1050,5039051.39,551
1051,2722402.52,832
1052,7097255.66,606
1053,2637594.07,729
1054,1911757.29,563
1055,4440971.39,367
1056,6039813.56,406
1057,4451561.14,699
1058,3292629.75,498
1059,5318832.52,491
1060,3798416.81,813
1061,8016647.37,741
1062,7943045.01,300
1063,4917077.1,657
1064,3660764.76,414
1065,6607353.38,496
1066,1564333.19,573
1067,4718336.84,459
1068,3721528.44,472
1069,7927858.37,844
1070,1386421.8,757
1071,5280267.11,732
1072,6632777.78,780
1073,4792129.51,754
1074,1914901.82,495
1075,8301722.01,608
1076,5029675.11,793
1077,5722140.96,738
1078,3003590.44,658
1079,4781186.21,335
1080,4389876.34,333
1081,1839250.06,387
1082,2064354.55,315
1083,7329802.14,720
1084,3026703.66,425
1085,2703699.55,307
1086,4935362.45,771
1087,6834979.35,767
1088,1746014.93,809
1089,5453017.02,701
1090,2158315.19,475
1091,1562519.57,666
1092,1679756.46,787
1093,7305981.58,317
1094,2149401.88,355
1095,1625089.82,334
1096,4452879.19,646
1097,7376753.0,331
1098,3189340.31,432
1099,4336330.85,498
1100,1587442.23,555
1101,4533365.3,641
1102,5458814.18,530
1103,5410530.79,600
1104,3693472.18,846
1105,3571838.9,325
1106,2067690.06,834
1107,3940947.91,773
1108,2016361.62,686
1109,6819490.8,584
1110,8257174.94,749
1111,8284536.09,619
1112,7528511.92,455
