indice valor
0 0.4967
1 -0.1383
2 0.6477
3 1.5230
4 -0.2342
5 -0.2341
6 1.5792
7 0.7674
8 -0.4695
9 0.5426
10 -0.4634
11 -0.4657
12 0.2420
13 -1.9133
14 -1.7249
15 -0.5623
16 -1.0128
17 0.3142
18 -0.9080
19 -1.4123
20 1.4656
21 -0.2258
22 0.0675
23 -1.4247
24 -0.5444
25 0.1109
26 -1.1510
27 0.3757
28 -0.6006
29 -0.2917
30 -0.6017
31 1.8523
32 -0.0135
33 -1.0577
34 0.8225
35 -1.2208
36 0.2089
37 -1.9597
38 -1.3282
39 0.1969
40 0.7385
41 0.1714
42 -0.1156
43 -0.3011
44 -1.4785
45 -0.7198
46 -0.4606
47 1.0571
48 0.3436
49 -1.7630
50 0.3241
51 -0.3851
52 -0.6769
53 0.6117
54 1.0310
55 0.9313
56 -0.8392
57 -0.3092
58 0.3313
59 0.9755
60 -0.4792
61 -0.1857
62 -1.1063
63 -1.1962
64 0.8125
65 1.3562
66 -0.0720
67 1.0035
68 0.3616
69 -0.6451
70 0.3614
71 1.5380
72 -0.0358
73 1.5646
74 -2.6197
75 0.8219
76 0.0870
77 -0.2990
78 0.0918
79 -1.9876
80 -0.2197
81 0.3571
82 1.4779
83 -0.5183
84 -0.8085
85 -0.5018
86 0.9154
87 0.3288
88 -0.5298
89 0.5133
90 0.0971
91 0.9686
92 -0.7021
93 -0.3277
94 -0.3921
95 -1.4635
96 0.2961
97 0.2611
98 0.0051
99 -0.2346
